Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CLI,Mack-Cali Realty Corporation,14.4,$1.3B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cli
CLNC,"Colony Credit Real Estate, Inc.",6.41,$823.61M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clnc
CLNY,"Colony Capital, Inc.",1.8,$867.48M,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clny
CLPR,Clipper Realty Inc.,6.62,$117.93M,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clpr
CLR,"Continental Resources, Inc.",17.4,$6.35B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/clr
CLS,"Celestica, Inc.",7,$903.37M,1998,Technology,Electrical Products,https://old.nasdaq.com/symbol/cls
CLW,Clearwater Paper Corporation,38.84,$643.61M,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/clw
CLX,Clorox Company (The),229.22,$28.87B,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/clx
CM,Canadian Imperial Bank of Commerce,69.66,$31.01B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/cm
CMA,Comerica Incorporated,36.84,$5.12B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cma
CMC,Commercial Metals Company,20.65,$2.46B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/cmc
CMCM,Cheetah Mobile Inc.,2.42,$337.12M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cmcm
CMD,Cantel Medical Corp.,50.51,$2.13B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cmd
CMG,"Chipotle Mexican Grill, Inc.",1142.93,$31.96B,2006,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cmg
CMI,Cummins Inc.,190.96,$28.17B,n/a,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cmi
CMO,Capstead Mortgage Corporation,5.96,$574.51M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cmo
CMP,"Compass Minerals International, Inc.",52.85,$1.79B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cmp
CMRE,Costamare Inc.,5.12,$614.05M,2010,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/cmre
CMS,CMS Energy Corporation,62.99,$18.03B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms
CMSA,CMS Energy Corporation,27.2,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsa
CMSC,CMS Energy Corporation,27.4299,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsc
CMSD,CMS Energy Corporation,28.1855,n/a,2019,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsd
CMU,Colonial Municipal Income Trust,4.29,$121.52M,1987,n/a,n/a,https://old.nasdaq.com/symbol/cmu
CNA,CNA Financial Corporation,33.66,$9.13B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/cna
CNC,Centene Corporation,67.27,$38.96B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/cnc
CNF,CNFinance Holdings Limited,3.59,$246.21M,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/cnf
CNHI,CNH Industrial N.V.,7.57,$10.33B,2013,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/cnhi
CNI,Canadian National Railway Company,96.86,$68.75B,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/cni
CNK,Cinemark Holdings Inc,12.08,$1.42B,2007,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/cnk
CNMD,CONMED Corporation,84.58,$2.41B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/cnmd
CNNE,"Cannae Holdings, Inc.",37.56,$3.44B,2017,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cnne
CNO,"CNO Financial Group, Inc.",15.77,$2.26B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/cno
CNP,"CenterPoint Energy, Inc.",19.07,$9.59B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cnp
CNQ,Canadian Natural Resources Limited,18.77,$22.16B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnq
CNR,"Cornerstone Building Brands, Inc.",6,$756.91M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cnr
CNS,Cohen & Steers Inc,64.61,$3.09B,2004,Finance,Investment Managers,https://old.nasdaq.com/symbol/cns
CNX,CNX Resources Corporation,8.78,$1.64B,1999,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnx
CNXM,CNX Midstream Partners LP,8.09,$726.48M,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/cnxm
CO,Global Cord Blood Corporation,3.46,$420.57M,n/a,Finance,Business Services,https://old.nasdaq.com/symbol/co
CODI,Compass Diversified Holdings,15.94,$1.05B,2006,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/codi
COE,China Online Education Group,23.05,$493.44M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/coe
COF,Capital One Financial Corporation,65.74,$30B,1994,Finance,Major Banks,https://old.nasdaq.com/symbol/cof
COG,Cabot Oil & Gas Corporation,17.97,$7.16B,1990,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cog
COLD,Americold Realty Trust,39.36,$7.88B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold
COO,"The Cooper Companies, Inc. ",286.38,$15.27B,n/a,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/coo
COP,ConocoPhillips,39.77,$42.65B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cop
COR,CoreSite Realty Corporation,126.05,$4.78B,2010,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cor
CORR,"CorEnergy Infrastructure Trust, Inc.",8.19,$111.81M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/corr
COTY,Coty Inc.,4.01,$3.06B,2013,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/coty
CP,Canadian Pacific Railway Limited,276.87,$37.53B,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/cp
CPA,"Copa Holdings, S.A.",44.28,$1.87B,2005,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/cpa
CPAC,Cementos Pacasmayo S.A.A.,8.3567,$715.51M,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cpac
CPB,Campbell Soup Company,49.49,$14.95B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/cpb
CPE,Callon Petroleum Company,1.31,$520.07M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cpe
CPF,CPB Inc.,14.55,$409.08M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cpf
CPG,Crescent Point Energy Corporation,1.73,$915.1M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cpg
CPK,Chesapeake Utilities Corporation,83.96,$1.38B,n/a,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/cpk
CPLG,CorePoint Lodging Inc.,4.96,$288.45M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cplg
CPRI,Capri Holdings Limited,14.72,$2.21B,2011,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/cpri
CPS,Cooper-Standard Holdings Inc.,11.3,$190.8M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/cps
CPSR.U,Capstar Special Purpose Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/cpsr.u
CPT,Camden Property Trust,89.25,$8.69B,1993,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cpt
CR,Crane Co.,61.41,$3.56B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cr
CRD.A,Crawford & Company,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crd.b
CRH,CRH PLC,38.84,$30.49B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/crh
CRI,"Carter&#39;s, Inc.",87.98,$3.84B,2003,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/cri
CRK,"Comstock Resources, Inc.",5.34,$1.24B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crk
CRL,"Charles River Laboratories International, Inc.",199.93,$9.89B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/crl
CRM,Salesforce.com Inc,190.96,$172.05B,2004,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/crm
CRS,Carpenter Technology Corporation,22.83,$1.09B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/crs
CRT,Cross Timbers Royalty Trust,6.63,$39.78M,1992,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crt
CRY,"CryoLife, Inc.",18.89,$712.92M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cry
CS,Credit Suisse Group,10.63,$25.5B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cs
CSL,Carlisle Companies Incorporated,121.99,$6.66B,n/a,Basic Industries,Specialty Chemicals,https://old.nasdaq.com/symbol/csl
CSLT,"Castlight Health, inc.",1.09,$162.97M,2014,Technology,EDP Services,https://old.nasdaq.com/symbol/cslt
CSPR,Casper Sleep Inc.,8.02,$318.18M,2020,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/cspr
CSTM,Constellium SE,8.92,$1.23B,2013,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/cstm
CSU,Capital Senior Living Corporation,0.5926,$18.19M,1997,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/csu
CSV,"Carriage Services, Inc.",19.42,$347.79M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/csv
CTAA,Qwest Corporation,25.88,n/a,2016,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctaa
CTB,Cooper Tire & Rubber Company,31.92,$1.61B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/ctb
CTBB,Qwest Corporation,24.25,n/a,2016,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctbb
CTDD,Qwest Corporation,25.13,n/a,2017,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctdd
CTEST,NYSE Test One,25.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest
CTEST.E,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.e
CTEST.G,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.g
CTEST.L,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.l
CTEST.O,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.o
CTEST.S,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.s
CTEST.V,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.v
CTK,CooTek (Cayman) Inc.,6.75,$417.2M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/ctk
CTL,"CenturyLink, Inc.",9.7,$10.65B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctl
CTLT,"Catalent, Inc.",83.25,$13.64B,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ctlt
CTR,ClearBridge MLP and Midstream Total Return Fund In,2.52,$96.77M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ctr
CTRA,"Contura Energy, Inc.",3.47,$63.5M,2018,Energy,Coal Mining,https://old.nasdaq.com/symbol/ctra
CTS,CTS Corporation,20.47,$660.36M,n/a,Technology,Electrical Products,https://old.nasdaq.com/symbol/cts
CTT           ,"CatchMark Timber Trust, Inc.",9.54,$465M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ctt
CTV,Qwest Corporation,25.17,n/a,2014,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctv
CTVA,"Corteva, Inc.",28.81,$21.56B,2019,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/ctva
CTY,Qwest Corporation,23.382,n/a,2013,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cty
CTZ,Qwest Corporation,24.5128,n/a,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctz
CUB,Cubic Corporation,40.04,$1.25B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cub
CUBB,"Customers Bancorp, Inc",20.09,n/a,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/cubb
CUBE,CubeSmart,27.69,$5.36B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cube
CUBI,"Customers Bancorp, Inc",10.51,$330.97M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cubi
CUK,Carnival Corporation,11.3,$8.03B,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/cuk
CULP,"Culp, Inc.",10.07,$123.71M,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/culp
CURO,CURO Group Holdings Corp.,7.1,$289.21M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/curo
CUZ,Cousins Properties Incorporated,28.99,$4.31B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,9.76,$1.29B,n/a,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/cva
CVE,Cenovus Energy Inc,5.07,$6.23B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cve
CVEO,Civeo Corporation,0.5094,$86.92M,2014,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/cveo
CVI,CVR Energy Inc.,19.5,$1.96B,2007,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvi
CVNA,Carvana Co.,150.83,$25.7B,2017,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/cvna
CVS,CVS Health Corporation,62.57,$81.78B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/cvs
CVX,Chevron Corporation,91.04,$169.97B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvx
CW,Curtiss-Wright Corporation,90,$3.75B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cw
CWEN,"Clearway Energy, Inc.",23.93,$4.77B,2015,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cwen
CWEN.A,"Clearway Energy, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cwen.a
CWH,"Camping World Holdings, Inc.",38.17,$3.37B,2016,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/cwh
CWK,Cushman & Wakefield plc,10.66,$2.35B,2018,Finance,Real Estate,https://old.nasdaq.com/symbol/cwk
CWT,California Water  Service Group Holding,49.25,$2.4B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/cwt
CX,Cemex S.A.B. de C.V.,3.17,$4.79B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cx
CXE,Colonial High Income Municipal Trust,4.92,$155.09M,1989,n/a,n/a,https://old.nasdaq.com/symbol/cxe
CXH,Colonial Investment Grade Municipal Trust,9.66,$88M,1989,n/a,n/a,https://old.nasdaq.com/symbol/cxh
CXO,Concho Resources Inc.,52.68,$10.36B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cxo
CXP,"Columbia Property Trust, Inc.",11.75,$1.34B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxp
CXW,"CoreCivic, Inc.",8.84,$1.06B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxw
CYD,China Yuchai International Limited,13.53,$552.81M,1994,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cyd
CYH,"Community Health Systems, Inc.",3.94,$471.48M,2000,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/cyh
CZZ,Cosan Limited,18.74,$4.16B,n/a,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/czz
D,"Dominion Energy, Inc.",80.22,$67.32B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/d
DAC,Danaos Corporation,3.6,$89.24M,2006,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dac
DAL,"Delta Air Lines, Inc.",25.5,$16.27B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/dal
DAN,Dana Incorporated,12.72,$1.84B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dan
DAO,"Youdao, Inc.",38.43,$4.3B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dao
DAR,Darling Ingredients Inc.,27.7,$4.48B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/dar
DAVA,Endava plc,52.53,$2.89B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/dava
DB,Deutsche Bank AG,9.55,$19.72B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/db
DBD,Diebold Nixdorf Incorporated,6.42,$498.46M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/dbd
DBI,Designer Brands Inc.,6,$432.64M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dbi
DBL,DoubleLine Opportunistic Credit Fund,19.22,$287.23M,2012,n/a,n/a,https://old.nasdaq.com/symbol/dbl
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund,8.075,$120.83M,2017,n/a,n/a,https://old.nasdaq.com/symbol/dcf
DCI,"Donaldson Company, Inc.",48.85,$6.16B,n/a,Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/dci
DCO,Ducommun Incorporated,33.7,$392.56M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/dco
DCP,DCP Midstream LP,12.1,$2.52B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/dcp
DCUE,"Dominion Energy, Inc.",102.94,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dcue
DD,"DuPont de Nemours, Inc.",55.35,$40.62B,2017,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dd
DDD,3D Systems Corporation,6.8,$808.37M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
DDF,"Delaware Investments Dividend & Income Fund, Inc.",8.37,$64.35M,1993,n/a,n/a,https://old.nasdaq.com/symbol/ddf
DDS,"Dillard&#39;s, Inc.",23.9,$555.2M,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dds
DDT,"Dillard&#39;s, Inc.",18.87,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/ddt
DE,Deere & Company,176,$55.06B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/de
DEA,"Easterly Government Properties, Inc.",23.14,$1.74B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dea
DECK,Deckers Outdoor Corporation,211.12,$5.91B,1993,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/deck
DEH.U,D8 Holdings Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/deh.u
DEI,"Douglas Emmett, Inc.",28.76,$5.04B,2006,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dei
DELL,Dell Technologies Inc.,60.96,$45.16B,2018,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/dell
DEO,Diageo plc,145.11,$84.8B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/deo
DESP,"Despegar.com, Corp.",8,$557.19M,2017,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/desp
DEX,Delaware Enhanced Global Dividend,8.56,$102.78M,2007,n/a,n/a,https://old.nasdaq.com/symbol/dex
DFIN,"Donnelley Financial Solutions, Inc.",8.18,$275.94M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dfin
DFNS,LGL Systems Acquisition Corp.,10.25,$221.02M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/dfns
DFNS.U,LGL Systems Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dfns.u
DFNS.WS,LGL Systems Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dfns.ws
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,25.44,$487.65M,2013,n/a,n/a,https://old.nasdaq.com/symbol/dfp
DFS,Discover Financial Services,51.76,$15.85B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dfs
DG,Dollar General Corporation,189.95,$47.81B,2009,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dg
DGX,Quest Diagnostics Incorporated,124.04,$16.59B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/dgx
DHF,BNY Mellon High Yield Strategies Fund,2.67,$194.13M,1998,n/a,n/a,https://old.nasdaq.com/symbol/dhf
DHI,"D.R. Horton, Inc.",66.57,$24.2B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/dhi
DHR,Danaher Corporation,198.98,$141.16B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dhr
DHT,"DHT Holdings, Inc.",5.64,$831.45M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dht
DHX,"DHI Group, Inc.",2.58,$136.99M,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dhx
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,13.68,$497.5M,2014,n/a,n/a,https://old.nasdaq.com/symbol/diax
DIN,"Dine Brands Global, Inc.",42.43,$696.63M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/din
DIS,Walt Disney Company (The),116.31,$210.09B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dis
DK,"Delek US Holdings, Inc.",17.51,$1.29B,2017,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/dk
DKL,"Delek Logistics Partners, L.P.",28.09,$826.57M,2012,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/dkl
DKS,Dick&#39;s Sporting Goods Inc,46.04,$4.12B,2002,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/dks
DL,China Distance Education Holdings Limited,8.78,$297.03M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dl
DLB,Dolby Laboratories,69.6,$7.01B,2005,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/dlb
DLNG,Dynagas LNG Partners LP,3.11,$110.37M,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/dlng
DLPH,Delphi Technologies PLC,16.26,$1.4B,2017,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dlph
DLR,"Digital Realty Trust, Inc.",151.01,$40.52B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dlr
DLX,Deluxe Corporation,20.44,$855.04M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/dlx
DLY,DoubleLine Yield Opportunities Fund,18.63,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dly
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc",13.6,$250.07M,2013,n/a,n/a,https://old.nasdaq.com/symbol/dmb
DMO,Western Asset Mortgage Opportunity Fund Inc.,14.21,$149.45M,2010,n/a,n/a,https://old.nasdaq.com/symbol/dmo
DMS,"Digital Media Solutions, Inc.",7.41,n/a,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dms
DMS.WS,"Digital Media Solutions, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dms.ws
DMYT,"dMY Technology Group, Inc.",11.85,$340.69M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/dmyt
DMYT.U,"dMY Technology Group, Inc.",n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dmyt.u
DMYT.WS,"dMY Technology Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dmyt.ws
DNB,"Dun & Bradstreet Holdings, Inc.",25.29,$10.4B,2020,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dnb
DNI,Dividend and Income Fund,10.59,$131.84M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dni
DNK,Phoenix Tree Holdings Limited,9,$1.65B,2020,Consumer Services,Building operators,https://old.nasdaq.com/symbol/dnk
DNOW,NOW Inc.,8.74,$955.35M,2014,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/dnow
DNP,"Duff & Phelps Utilities Income, Inc.",10.94,$3.32B,1987,n/a,n/a,https://old.nasdaq.com/symbol/dnp
DNR,Denbury Resources Inc.,0.23,$116.49M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dnr
DOC,Physicians Realty Trust,17.65,$3.58B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/doc
DOOR,Masonite International Corporation,87.82,$2.15B,n/a,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/door
DOV,Dover Corporation,106.25,$15.3B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dov
DOW,Dow Inc.,44,$32.61B,2019,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dow
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,11.48,$435.43M,2011,n/a,n/a,https://old.nasdaq.com/symbol/dpg
DPZ,Domino&#39;s Pizza Inc,389.61,$15.33B,2004,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dpz
DQ,DAQO New Energy Corp.,109.39,$1.52B,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/dq
DRD,DRDGOLD Limited,17.71,$1.51B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/drd
DRE,Duke Realty Corporation,37.72,$13.9B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dre
DRH,Diamondrock Hospitality Company,4.71,$938.44M,2005,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/drh
DRI,"Darden Restaurants, Inc.",76.37,$9.91B,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/dri
DRQ,"Dril-Quip, Inc.",35.02,$1.23B,1997,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/drq
